corp_name,stock_code,market,buy_date,buy_price,record_date,sell_date,sell_price,shares,net_pnl,ret_pct,hold_days
바이브컴퍼니,301300,KOSDAQ,2023-03-29,14327,2023-04-14,2023-04-12,12949,1395,-1960532.442,-9.807976699,14
TYM,2900,KOSPI,2023-03-30,7981,2023-05-23,2023-05-19,8420,2505,1055566.544,5.279045883,50
제놀루션,225220,KOSDAQ,2023-04-03,6182,2023-04-20,2023-04-18,6550,3235,1146161.147,5.730298656,15
블루산업개발,6740,KOSPI,2023-04-04,12044,2023-04-20,2023-04-18,12690,1660,1028283.514,5.142436041,14
위지윅스튜디오,299900,KOSDAQ,2023-04-14,4340,2023-05-03,2023-04-28,4390,4608,187953.408,0.939686236,14
센코,347000,KOSDAQ,2023-04-28,3689,2023-05-15,2023-05-11,3945,5421,1343073.892,6.715010639,13
제이아이테크,417500,KOSDAQ,2023-05-08,5615,2023-05-23,2023-05-19,5440,3561,-663949.3403,-3.320076343,11
엑스페릭스,317770,KOSDAQ,2023-06-09,12045,2023-06-26,2023-06-22,11659,1660,-681499.388,-3.407888983,13
토마토시스템,393210,KOSDAQ,2023-06-13,5750,2023-06-28,2023-06-26,5909,3478,509926.7961,2.549442801,13
포시에스,189690,KOSDAQ,2023-06-16,2939,2023-07-03,2023-06-29,3099,6805,1044677.06,5.222629331,13
알비더블유,361570,KOSDAQ,2023-06-20,6374,2023-07-05,2023-07-03,5740,3137,-2026969.727,-10.13574195,13
HB솔루션,297890,KOSDAQ,2023-06-28,4855,2023-07-13,2023-07-11,4780,4119,-350317.8608,-1.751524089,13
라이온켐텍,171120,KOSDAQ,2023-06-30,5975,2023-07-20,2023-07-18,6030,3347,141729.5517,0.708600823,18
지에프씨생명과학,388610,KOSDAQ,2023-07-07,4705,2023-07-25,2023-07-21,5209,4250,2095830.975,10.47954815,14
HLB,28300,KOSDAQ,2023-07-19,29567,2023-08-03,2023-08-01,31999,676,1598852.824,7.998147185,13
